number_of_rooms,metro,address,area,parking,renovation,windows,ceiling_height,elevator,price_monthly,deposit,utility,type_house,current_floor,total_floors,combined_bathrooms,separate_bathrooms
5,6.0,"Москва, 1-й Смоленский переулок, 17",215.0,0,1,1,3.086762295346676,Пасс (1),500000.0,500000.0,включены,0,2,13,0.0,0.0
4,7.0,"Москва, улица Арбат, 27/47",195.0,1,0,1,3.2,Пасс (1),520000.0,520000.0,включены,4,7,7,0.0,0.0
4,4.0,"Москва, Малый Каковинский переулок, 6С1",186.0,0,2,1,3.2,Пасс (1),590000.0,590000.0,включены,4,4,6,0.0,0.0
6,5.0,"Москва, Большой Николопесковский переулок, 13",336.0,0,0,1,2.665014219533568,Пасс (1),590000.0,590000.0,включены,4,4,4,0.0,0.0
6,4.0,"Москва, переулок Романов, 5",380.0,0,1,2,3.6779396478995094,Пасс (1),650000.0,650000.0,nan,2,5,5,0.0,0.0
2,5.0,"Москва, улица Новый Арбат, 26",53.0,1,1,0,3.2,Пасс (1),80000.0,80000.0,nan,2,11,24,0.0,0.0
2,10.0,"Москва, улица Новый Арбат, 22",53.0,1,1,1,2.5,"Пасс (1), Груз (1)",80000.0,80000.0,включены,2,5,24,0.0,0.0
2,6.0,"Москва, улица Новый Арбат, 6",60.0,1,2,2,3.6466036038762457,Пасс (2),90000.0,90000.0,включены,2,23,24,0.0,0.0
1,9.0,"Москва, улица Новый Арбат, 15",30.0,1,0,2,3.2543623481671284,"Пасс (2), Груз (2)",95000.0,190000.0,включены,2,21,26,0.0,0.0
3,6.0,"Москва, Смоленская набережная, 5/13",80.0,0,1,1,2.841219139184692,Пасс (2),100000.0,100000.0,включены,4,2,12,0.0,0.0
3,5.0,"Москва, Новинский бульвар, 16А",68.0,1,1,1,2.8,Пасс (1),100000.0,100000.0,включены,4,5,6,0.0,0.0
2,10.0,"Москва, Большой Девятинский переулок, 5",55.0,2,1,2,2.8,"Пасс (1), Груз (1)",105000.0,105000.0,включены,3,7,16,0.0,0.0
2,2.0,"Москва, Карманицкий переулок, 5",55.0,1,1,2,3.2,Пасс (1),110000.0,110000.0,nan,2,8,10,0.0,0.0
3,9.0,"Москва, улица Арбат, 31",103.0,0,0,0,2.9561047992775875,0,120000.0,120000.0,включены,4,2,3,0.0,0.0
3,10.0,"Москва, Новинский бульвар, 18к2",80.0,0,1,1,3.532692546482136,Пасс (1),120000.0,120000.0,nan,2,5,6,0.0,0.0
2,5.0,"Москва, Кривоарбатский переулок, 8С2",65.0,0,0,1,3.0,Пасс (1),130000.0,130000.0,включены,4,1,7,0.0,0.0
2,5.0,"Москва, улица Большая Молчановка, 21",98.0,2,1,1,3.4,Пасс (1),135000.0,135000.0,включены,5,5,5,0.0,0.0
2,9.0,"Москва, улица Новый Арбат, 15",40.0,1,0,0,2.4,"Пасс (2), Груз (2)",135000.0,135000.0,включены,0,21,26,0.0,0.0
2,9.0,"Москва, улица Большая Молчановка, 21",89.4,0,1,2,3.0020683540120485,Пасс (1),135000.0,135000.0,включены,4,5,6,0.0,0.0
3,6.0,"Москва, Смоленская набережная, 5/13",90.0,0,0,0,3.4934961712979407,Пасс (2),145000.0,145000.0,включены,4,4,12,0.0,0.0
3,5.0,"Москва, улица Арбат, 15/43",90.0,1,1,0,3.2,Пасс (1),150000.0,150000.0,nan,2,7,7,0.0,0.0
3,6.0,"Москва, Филипповский переулок, 16",100.0,2,2,1,3.5480024718746113,Пасс (1),150000.0,150000.0,включены,5,5,5,0.0,0.0
2,9.0,"Москва, улица Новый Арбат, 15",43.3,1,0,1,4.0,Груз (4),150000.0,150000.0,включены,0,12,26,0.0,0.0
3,8.0,"Москва, улица Новый Арбат, 31/12",110.0,1,1,0,3.0,Пасс (1),160000.0,160000.0,включены,3,10,12,0.0,0.0
2,7.0,"Москва, Староконюшенный переулок, 33",120.0,0,1,1,3.0,0,165000.0,165000.0,включены,5,4,4,0.0,0.0
3,6.0,"Москва, улица Арбат, 51С3",117.0,2,1,1,3.0,Пасс (1),170000.0,170000.0,включены,4,8,8,0.0,0.0
3,10.0,"Москва, переулок Сивцев Вражек, 14",120.0,0,1,1,3.0,Пасс (1),180000.0,180000.0,включены,1,4,6,0.0,0.0
4,10.0,"Москва, Поварская улица, 31/29",96.0,0,1,1,3.927237486367458,Пасс (1),180000.0,180000.0,включены,4,3,5,0.0,0.0
2,8.0,"Москва, улица Малая Молчановка, 4",120.0,2,2,1,4.0,Пасс (1),190000.0,190000.0,включены,5,4,5,0.0,0.0
3,9.0,"Москва, Староконюшенный переулок, 26",120.0,0,0,0,3.4306357157722487,"Пасс (1), Груз (1)",195000.0,195000.0,включены,4,2,12,0.0,0.0
2,10.0,"Москва, улица Новый Арбат, 32",75.0,0,0,2,3.2,Пасс (2),200000.0,200000.0,включены,1,4,10,0.0,0.0
3,5.0,"Москва, Гоголевский бульвар, 29",99.0,0,0,1,3.0331954557481406,Пасс (2),200000.0,200000.0,включены,0,3,9,0.0,0.0
4,10.0,"Москва, Борисоглебский переулок, 8С1",130.0,1,0,1,3.2,Пасс (1),220000.0,220000.0,включены,5,4,6,0.0,0.0
3,12.276339583135053,"Москва, Староконюшенный переулок, 32",120.0,2,0,0,2.8199899257423087,"Пасс (1), Груз (1)",230000.0,230000.0,nan,2,5,9,0.0,0.0
3,7.0,"Москва, улица Арбат, 43С3",105.0,0,1,1,3.955144797535884,Пасс (1),250000.0,250000.0,nan,0,2,4,0.0,0.0
3,9.0,"Москва, переулок Сивцев Вражек, 20",115.0,1,1,1,3.0,"Пасс (1), Груз (1)",250000.0,250000.0,включены,0,7,7,0.0,0.0
5,7.0,"Москва, Кривоарбатский переулок, 8С2",165.0,1,1,0,3.2,Пасс (1),250000.0,250000.0,nan,2,4,8,0.0,0.0
1,12.276339583135053,"Москва, улица Новый Арбат, 32",65.0,0,0,0,2.9582750238757365,Пасс (1),270000.0,270000.0,nan,2,2,13,0.0,0.0
2,20.0,"Москва, улица Новый Арбат, 32",76.0,0,1,2,3.0,"Пасс (1), Груз (1)",270000.0,270000.0,включены,1,6,13,0.0,0.0
3,4.0,"Москва, Новинский бульвар, 7",126.0,1,1,2,3.2,Пасс (1),300000.0,300000.0,nan,2,9,9,0.0,0.0
3,10.0,"Москва, улица Новый Арбат, 29",124.0,0,1,0,3.2,Пасс (1),300000.0,300000.0,nan,2,10,17,0.0,0.0
2,5.0,"Москва, переулок Плотников, 21С1",130.0,0,0,0,3.8,Пасс (1),330000.0,330000.0,включены,4,2,6,0.0,0.0
4,5.0,"Москва, Гоголевский бульвар, 29",190.0,0,1,0,3.2,Пасс (1),330000.0,330000.0,nan,2,2,8,0.0,0.0
4,4.0,"Москва, 1-й Смоленский переулок, 17",178.0,0,0,1,3.0,Пасс (2),350000.0,350000.0,включены,0,13,13,0.0,0.0
